grupo,categoria,Tipo_Curso,Nombre_curso,Pais,Ano,Idioma,Medio_divulgacion,sitio_web,Participacion,Duracion_semanas,Finalidad,lugar,Institucion_Financiadora,Autores
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,FORMACIÓN Y CUALIFICACIÓN DOCENTE EN PLANEACIÓN Y EVALUACIÓN DEL APRENDIZAJE EN EL AULA.,Colombia,2008,Español,Papel, ,Docente,16,FUNDAMENTAR CONCEPTUAL Y OPERATIVAMENTE A LOS DOCENTES Y DIRECTIVOS PARA LA PLANEACIÓN Y EVALUACIÓN DEL APRENDIZAJE ESCOLAR EN EL AULA DE CLASE.,FUNADCIÓN UNIVERSITARIA LUIS AMIGÓ - INSTITUCIÓN EDUCATIVA KILÓMETRO DOCE,, FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,GESTIÓN DE PROYECTOS AMBIENTALES. DIPLOMADO EN EL MARCO DEL PROYECTO CAEC.,Colombia,2008,Español,Papel, ,Docente,24,FUNDAMENTAR CONCEPTUALMENTE A LOS DOCENTES Y DIRECTIVOS PARA LA GESTIÓN Y DESARROLLO DE LA EDUCACIÓN AMBIENTAL A PARTIR DE PROYECTOS  AMBIENTALES.,COLEGIO LATINO DE MONTERÍA.,Corporación Autónoma Regional de los Valles del Sinú y del San Jorge, FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,DISEÑO Y ELABORACIÓN DE TEXTOS PRETEXTOS. DIPLOMADO EN EL MARCO DEL PROYECTO CAEC.,Colombia,2007,Español,Papel, ,Docente,24,FUNDAMENTAR CONCEPTUALMENTE A LOS DOCENTES Y DIRECTIVOS PARA EL DISEÑO Y ELABORACIÓN DE TEXTOS PRETEXTOS COMO ESTRTEGIA DIDÁCTICA.,FUNDACIÓN UNIVERSITARIA LUIS AMIGÓ.,Corporación Autónoma Regional de los Valles del Sinú y del San Jorge, FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,PEDAGOGÍA PARA LA CONSTRUCCIÓN DE CULTURA AMBIENTAL. DIPLOMADO EN EL MARCO DEL PROYECTO CAEC.,Colombia,2006,Español,Papel, ,Docente,32,FUNDAMENTAR CONCEPTUALMENTE A LOS DOCENTES Y DIRECTIVOS PARA LA CONSTRUCCIÓN DE CULTURA AMBIENTAL DESDE LAS ESCUELAS Y COMUNIDADES CORDOBESAS.,INSTITUCIÓN EDUCATIVA ENRIQUE OLAYA HERRERA,Corporación Autónoma Regional de los Valles del Sinú y del San Jorge, FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Otro ,Manipulaciòn de Alimentos.,Colombia,2006,Español,Internet, ,Docente,100,"Preparar a las madres comunitarias en la preparaciòn de alimetnos,",,, CLARA HELENA GENES BITAR
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,PEDAGOGÍA Y EPISTEMOLOGÍA DE LA EDUCACIÓN EN EL DIPLOMADO PARA DOCENTES NO LICENCIADOS.,Colombia,2006,Español,Papel, ,Docente,1,FUNDAMENTACIÓN PEDAGÓGICA PARA DOCENTES NO LICENCIADOS DE SAHAGÚN.,ESCUELA NORMAL SUPERIOR DE SAHAGÚN,UNIVERSIDAD CATOLICA LUIS AMIGO, FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,METODOLOGÍA DE LA INVESTIGACIÓN PARA DOCENTES EN EJERCICIO.,Colombia,2005,Español,Papel, ,Docente,1,CAPACITACIÓN Y/O ACTUALIZACIÓN DE LOS DOCENTES DE LOS MUNICIPIOS NO CERTIFICADOS DEL DEPARTAMENTO DE CÓRDOBA.,INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE LA CANDELARIA DE PLANETA RICA,Gobernación De Córdoba, FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Perfeccionamiento ,FORMACIÓN INVESTIGATIVA PARA DOCENTES Y ESTUDIANTES DEL PROGRAMA ONDAS.,Colombia,2005,Español,Papel, ,Docente,1,LANZAMIENTO DEL PROGRAMA ONDAS CÓRDOBA Y SENSIBILIZACIÓN A DOCENTES Y ESTUDIANTES DE LA SUBREGIÓN DEL BAJO SINÚ.,INSTITUTO TÉCNICO AGRÍCOLA DE LORICA - ITAL.,"Ministerio de Ciencia, Tecnología e Innovación.", FRANCISCO WILLIAM MERCADO MERCADO
CALIDAD DE VIDA,Curso de Corta Duración Dictados, Extensión extracurricular ,DIPLOMADO EN PERSPECTIVAS DE LA PEDAGOGIA SOCIAL EN EL CONTEXTO DE LAS TEORÍAS CRITICAS DE LA EDUCACIÓN,Colombia,2002,Español,Papel, WWW.FUNLAM.EDU.CO,Docente,16,ACTUALIZACION A DOCENTES SOBRE PEDAGOGÍA SOCIAL,MONTERIA,UNIVERSIDAD CATOLICA LUIS AMIGO, VICTOR TERAN REALES
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Las Historias de Vida Como Método de Investigación Social,Colombia,2021,Español,Papel, ,Docente,2,Analizar los debates y las discusiones más recientes que se han dado en el universo de las ciencias humanas y sociales que han hecho posible el surgimiento de las historias de vida como método de investigación social,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, JOSE ALCIDES CASTRO ACEVEDO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Fundamentos éticos y políticos de la psicologia social comunitaria,Colombia,2021,Español,Papel, ,Docente,0,,,, PAULA VANESSA SANCHEZ AGUDELO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,"Redes de apoyo y desarrollo social, análisis de política social",Colombia,2021,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea IV),Colombia,2021,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Ideologías de la Exclusión,Colombia,2020,Español,Papel, ,Docente,2,"Al momento de recibir el Premio Principe de Asturias de Comunicación y Humanidades en 2010, Zygmunt Bauman definió las ideologías como esos grandes telones de fondo que hacen que miremos sin llegar a ver. Estos telones estan hechos de ¿mitos, mascaras, estereotipos, interpretaciones y prejuicios pre",Manizales,UNIVERSIDAD CATOLICA LUIS AMIGO, JOSE ALCIDES CASTRO ACEVEDO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Preparación Saber Pro 2020,Colombia,2020,Español,Papel, ,Docente,0,En Preparación,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, JOSE ALCIDES CASTRO ACEVEDO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Seminario de investigación II,Colombia,2020,Español,Otro, ,Docente,3,Reconocer los los fundamentos metodológicos de la investigación,Universidad Pontificia Bolivariana,UNIVERSIDAD PONTIFICIA BOLIVARIANA, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Perspectiva Pedagógica Social,Colombia,2020,Español,Otro, ,Docente,2,Reconocer la perspectiva pedagógica en las intervenciones psicosociales,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea III),Colombia,2020,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Sociología de las Migraciones,Colombia,2020,Español,Varios,//anthropografias.blogspot.com/2020/01/curso-de-verano.html,Docente,2,"Las migraciones en el mundo contemporáneo han implicado una inflexión en la mirada en los investigadores de las ciencias sociales y humanas de una buena parte del mundo. Autores de paises como Italia, Francia, Alemania, Portugal, España, Chile y Colombia, han comenzado a reflexionar sobre la forma e",Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, JOSE ALCIDES CASTRO ACEVEDO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Análisis de la realidad psicosocial contemporánea,Colombia,2020,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Psicopedagogía y Contextos Sociales,Colombia,2020,Español,Otro, ,Docente,3,"Reconocer los aportes de la psicopedagogía en la reflexión, lectura y transformación de los contextos sociales",Universidad Pontificia Bolivariana,UNIVERSIDAD PONTIFICIA BOLIVARIANA, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Fundamentos éticos y políticos de la psicología social comunitaria,Colombia,2020,Español,Papel, ,Docente,0,,,, PAULA VANESSA SANCHEZ AGUDELO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea IV),Colombia,2020,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea II),Colombia,2020,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea III),Colombia,2019,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Fundamentos éticos y políticos de la psicologia social comunitaria,Colombia,2019,Español,Papel, ,Docente,0,,,, PAULA VANESSA SANCHEZ AGUDELO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea IV),Colombia,2019,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea I),Colombia,2019,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea III),Colombia,2019,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea II),Colombia,2019,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,"Reparación, restauración y reconciliación social",Colombia,2018,Español,Otro, ,Docente,1,,,, PAULA VANESSA SANCHEZ AGUDELO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea I),Colombia,2018,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea II),Colombia,2018,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Perfeccionamiento ,MÉTODOS CUALITATIVOS DE INVESTIGACIÓN SOCIAL,Colombia,2018,Español,Otro, ,Docente,6,Presentar a los estudiantes de la Maestría las generalidades de los métodos de Investigación Cualitativa,Universidad Católica Luis Amigó,, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Perfeccionamiento ,Actualización en técnicas de intervención psicosocial,Colombia,2018,Español,Papel, ,Docente,4,,,Universidad De Antioquia - Sede Caucasia, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Psicología Latinoamericana y fenómenos contemporáneos,Colombia,2018,Español,Varios, ,Docente,16,Analizar de manera critica las tendencias de la psicología latinoamericana y los fenómenos contemporáneos,,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Psicología Ambiental,Colombia,2018,Español,Varios, ,Docente,16,Mostrar las generalidades de la psicología ambiental,,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Técnicas de Entrevista,Colombia,2018,Español,Varios, ,Docente,8,,,CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS - UNIMINUTO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,síntomas psicosociales contemporáneo (seminario de línea I),Colombia,2018,Español,Papel, ,Docente,0,,,, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Trabajo de Grado Especialización en Intervenciones Psicosociales,Colombia,2018,Español,Papel, ,Docente,32,Acompañar el producto de trabajo de grado de la especialización de Intervenciones Psicosociales,,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Trabajo de Grado Especialización en Intervenciones Psicosociales,Colombia,2017,Español,Varios, ,Docente,16,Acompañar el producto de trabajo de grado de la especialización de Intervenciones Psicosociales,,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Perfeccionamiento ,Métodos Cualitativos de Investigación Social. Maestría en Intervenciones Psicosociales,Colombia,2017,Español,Papel, ,Docente,4,Presentar a los estudiantes de la Maestría las generalidades de los métodos de Investigación Cualitativa,,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Teoría y Dinámica de Grupo,Colombia,2017,Español,Papel, ,Docente,16,"Planear, ejecutar y evaluar intervenciones grupales a partir de elementos conceptuales, metodológicos y técnicos de los diferentes enfoques que ofrece la Psicología",,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Escuelas de la Psicología Social,Colombia,2017,Español,Papel, ,Docente,16,Proporcionar las bases teóricas y marcos explicativos del campo de estudio de la Psicología Social que permita a los estudiantes comprender los procesos implicados en los fenómenos psicosociales.,,, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Investigación y Trabajo de grado II,Colombia,2017,Español,Internet, ,Docente,32,"Facilitar los conceptos básicos de lógica de la investigación científica, además de orientar a los estudiantes en el proceso de construcción del proyecto de grado",Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Proyectos Sociales I,Colombia,2017,Español,Varios, ,Docente,1,,,FUNDACION UNIVERSITARIA CLARETIANA, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Perfeccionamiento ,La clínica Dinámica.,Colombia,2017,Español,Varios, ,Docente,1,Abordar los elementos básicos de la psicoterapia breve desde la clínica dinámica.,Universidad Católica Luis Amigó.,UNIVERSIDAD CATOLICA LUIS AMIGO, JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Investigación y Trabajo de Grado I,Colombia,2017,Español,Otro, ,Docente,32,"Facilitar los conceptos básicos de lógica de la investigación científica, además de orientar a los estudiantes en el proceso de construcción del proyecto de grado.",Universidad Católica Luis Amigó. Especialización en Adicciones. Modalidad distancia,UNIVERSIDAD CATOLICA LUIS AMIGO, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de trabajo de grado. Especialización en Derecho Penal,Colombia,2017,Español,Varios, ,Docente,32,Asesora metodológicamente los productos de investigación de los estudiantes,,UNIVERSIDAD CATOLICA LUIS AMIGO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Metodologías de la Intervención Participativa,Colombia,2017,Español,Otro, ,Docente,5,Facilitar herramientas para el diseño de proyectos de intervención con metodologías participativas,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Proyectos Sociales II,Colombia,2017,Español,Papel, ,Docente,1,,,FUNDACION UNIVERSITARIA CLARETIANA, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Procesos Psicológicos Sociales,Colombia,2017,Español,Papel, ,Docente,8,,,CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS - UNIMINUTO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Modelos de Intervención Psicosocial,Colombia,2017,Español,Papel, ,Docente,8,,,CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS - UNIMINUTO, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Seminario de Formación Investigativa 2,Colombia,2017,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Formación Investigativa 2,Colombia,2017,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Seminario de Formación Investigativa,Colombia,2017,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Trabajo de grado,Colombia,2017,Español,Papel,//www.funlam.edu.co/modules/escuelaposgrados/item.php?itemid=18,Docente,16,"Sistematizar e integrar los resultados de la literatura publicados sobre un tema en una disciplina específica, con el fin de dar cuenta de los avances y las tendencias de desarrollo disciplinar.",Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, SONIA NATALIA COGOLLO OSPINA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Salud Mental en Emergencias y Desastres.,Colombia,2016,Español,Otro, ,Docente,2,introducir el concepto de salud mental y violencias sociales en el contexto de las emergencias y desastres como una consecuencia psicosocial.,Ministerio de Salud y Protección social.,UNIVERSIDAD DE ANTIOQUIA, JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Formación Investigativa,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Proyectos Sociales II,Colombia,2016,Español,Papel, ,Docente,1,,,FUNDACION UNIVERSITARIA CLARETIANA, KATY LUZ MILLAN OTERO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Formación Investigativa 2,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Seminario de Formación Investigativa 2,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Seminario de Formación Investgiativa,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Individuo y Desarrollo Social.,Colombia,2016,Español,Varios, ,Docente,1,"Ofrecer dentro de un diplomado en Desarrollo psicoafectivo en la infancia a Agentes educativos, desde la política de 0 a siempre, la importancia del compromiso subjetivo para el desarrollo social y político de la región.",El Bordo Patía - Cauca,FUNDACIÓN UNIVERSIDAD DEL NORTE, JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Trabajo de grado,Colombia,2016,Español,Papel,//www.funlam.edu.co/uploads/programas/posgrados/Intervenciones-Psicosociales-Presencial-MED.pdf,Docente,16,Reconocer situaciones objeto de estudio e indagación en una determinada temática del saber disciplinar específico.,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, SONIA NATALIA COGOLLO OSPINA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Semianrio de Formación Investigativa,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Introducción a la Epistemología de la Psicología Social,Colombia,2016,Español,Papel, ,Docente,4,"Presentar una visión panóramica a los estudiantes de la Especilaización en Intervenciones Psicosociales de la Funlam, de los problemas epistemológicos y metodológicos que enfrenta la psicología social",Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, NICOLASA MARIA DURAN PALACIO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Perfeccionamiento ,Curso Una mirada crítica al enfoque de habilidades para la vida,Colombia,2016,Español,Otro, ,Docente,16,"Aportar una mirada crítica al enfoque de habilidades para la vida, propuesto por la Organización Mundial de la Salud. OMS",Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAGDA VICTORIA DIAZ ALZATE
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Formación Investigativa,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Seminario de Formación Investigativa,Colombia,2016,Español,Papel, ,Docente,0,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, HEIDI SMITH PULIDO VARON
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Escribir para publicar,Colombia,2015,Español,Papel, ,Docente,1,Curso de la Maestría en Educación,Tecnológico de Antioquia,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA, SONIA NATALIA COGOLLO OSPINA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Curso de Investigación Avanzada II,Colombia,2015,Español,Otro, ,Docente,0,Impartir curso en el Doctorado de Psicología,Universidad de San Buenaventura,UNIVERSIDAD DE SAN BUENAVENTURA - SEDE MEDELLÍN, MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Seminario de énfasis de línea II,Colombia,2015,Español,Otro,//www.usbmed.edu.co/index.php/doctorado-psicologia,Docente,0,Impartir curso dentro del Doctorado en Psicología,Universidad de San Buenaventura,UNIVERSIDAD DE SAN BUENAVENTURA - SEDE MEDELLÍN, MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Módulo Perspectivas teóricas de análisis de conflictos desde los movimientos populares,Colombia,2015,Español,Otro, ,Docente,0,Impartir módulo en la Maestría en Negociación y Manejo de Conflictos- Asignatura Movimientos sociales y acciones colectivas,Universidad del Norte- Barranquilla,, MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Perfeccionamiento ,Psicoética y Deontología de la Psicología,Colombia,2014,Español,Otro, ,Docente,5,Ofrecer a los estudiantes de Psicología los fundamentos deontológicos de su acción profesional,Universidad de Antioquia,UNIVERSIDAD DE ANTIOQUIA, NICOLASA MARIA DURAN PALACIO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Especialización ,Metodología de Intervención,Colombia,2014,Español,Papel, ,Docente,1,,Universidad de Caldas,, PAULA VANESSA SANCHEZ AGUDELO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Teoría de las Ciencias Sociales,Colombia,2014,Español,Papel, ,Docente,16,Fundamentar epistemológicamente la Investigación en Psicología,Universidad de Antioquia,UNIVERSIDAD DE ANTIOQUIA, NICOLASA MARIA DURAN PALACIO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Extensión extracurricular ,Epistemología de las Ciencias Sociales,Colombia,2014,Español,Otro, ,Docente,3,Curso de Maestría en Intervenciones Psicosociales,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, NICOLASA MARIA DURAN PALACIO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Curso de Corta Duración Dictados, Otro ,Conceptos psicológicos y problemáticas sociales.,Colombia,2013,Español,Varios, ,Docente,2,"Entender al ser humano como sujeto de cambio y transformación constante, en interacción con factores psicosociales, históricos y culturales.",Medellín,FUNDACION HOGARES CLARET, JOHN JAIRO GARCIA PENA
