grupo,categoria,Medio,Titulo,Pais,Ano,Editorial,Idioma,Paginas,Autores
CONTAS,Ediciones,Otro,Boletin Ágora Contable,Colombia, 2020,Universidad Católica Luis Amigo,Español,12,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2019,Universidad Católica Luis Amigó,Español,180,FARLEY SARY ROJAS RESTREPO
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2019,Universidad Católica Luis Amigó,Español,191,FARLEY SARY ROJAS RESTREPO
CONTAS,Ediciones,Otro,Boletin Ágora Contable,Colombia, 2019,Universidad Católica Luis Amigo,Español,12,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2018,Universidad Católica Luis Amigó,Español,218,FARLEY SARY ROJAS RESTREPO
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2018,Universidad Católica Luis Amigó,Español,191,FARLEY SARY ROJAS RESTREPO
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2017,FONDO EDITORIAL UNIVERSIDAD CATÓLICA LUIS AMIGÓ,Español,,FARLEY SARY ROJAS RESTREPO
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2016,FONDO EDITORIAL UNIVERSIDAD CATÓLICA LUIS AMIGÓ,Español,,FARLEY SARY ROJAS RESTREPO
CONTAS,Ediciones,Revista,Science of Human Action,Colombia, 2016,FONDO EDITORIAL UNIVERSIDAD CATÓLICA LUIS AMIGÓ,Español,,FARLEY SARY ROJAS RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Revista Colombiana de Ciencias Sociales,Colombia, 2020,Fondo Editorial Universidad Católica Luis Amigó,Español,332,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2020,Fondo Editorial Universidad Católica Luis Amigó,Español,468,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Revista Colombiana de Ciencias Sociales,Colombia, 2020,Fondo Editorial Universidad Católica Luis Amigó,Español,379,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2019,Fondo Editorial Universidad Católica Luis Amigó,Español,165,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2019,Fondo Editorial Universidad Católica Luis Amigó,Español,191,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Revista Colombiana de Ciencias Sociales,Colombia, 2019,Fondo Editorial Luis Amigó,Español,272,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2018,Fondo Editorial Luis Amigó,Español,530,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Revista Colombiana de Ciencias Sociales,Colombia, 2018,Fondo Editorial Luis Amigó,Español,279,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2018,Fondo Editorial Luis Amigó,Español,254,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Compilación,Jornadas de reflexión filosófica y teológica. Memorias,Colombia, 2017,Fondo editorial Funlam,Español,157,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2017,Fondo Editorial Luis Amigó,Español,546,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2017,Fondo Editorial Luis Amigó,Español,259,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Jornadas de reflexión filosófica y teológica,Colombia, 2016,Fondo Editorial Luis Amigó,Español,241,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Compilación,Jornadas de reflexión filosófica y teológica. Pensar la actualidad,Colombia, 2016,Fondo editorial Funlam,Español,243,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2016,Fondo Editorial Luis Amigó,Español,183,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2015,Fondo Editorial Luis Amigó,Español,124,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Versiones Revista de Estudiantes de Filosofía,Colombia, 2015,Instituto de Filosofía,Español,136,PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2015,Fondo Editorial Luis Amigó,Español,165,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Libro,La Filosofía hoy,Colombia, 2015,Fondo Editorial Funlam,Español,193,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Compilación,La filosofía hoy,Colombia, 2015,Fondo editorial Funlam,Español,193,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Versiones Revista de Estudiantes de Filosofía,Colombia, 2015,Instituto de Filosofía,Español,119,PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2015,Fondo Editorial Luis Amigó,Español,108,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Versiones Revista de Estudiantes de Filosofía,Colombia, 2014,Instituto de Filosofía,Español,125,PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2014,Fondo Editorial Luis Amigó,Español,130,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Perseitas,Colombia, 2014,Fondo Editorial Luis Amigó,Español,140,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Ediciones,Revista,Versiones Revista de Estudiantes de Filosofía,Colombia, 2014,Instituto de Filosofía,Español,120,PALOMA MARIN ESCOBAR
URBANITAS,Ediciones,Libro,Estrategias de publicidad social. Coyunturas sociales como oportunidad de mejoramiento de valor responsable.,Colombia, 2019,Fondo Editorial Universidad Católica Luis Amigó,Español,137,"JUAN DIEGO LOPEZ MEDINA, OMAR MUNOZ SANCHEZ, JAIME ALBERTO OROZCO TORO, DIEGO ANDRES DORIA GOMEZ, JOHN FREDY CANO GUTIERREZ, DAVID ALEJANDRO RESTREPO DIAZ, CLAUDIA INES VELEZ OCHOA, RAFAEL VARGAS CANO, JORGE IVAN GAVIRIA MESA, MONICA LUCIA GRANDA VIVEROS"
URBANITAS,Ediciones,Libro,La responsabilidad social desde una perspectiva crítica e interdisciplinaria. ISBN 9789588399928,Colombia, 2015,Fondo Editorial Funlam,Español,145,GABRIEL JAIME LOTERO ECHEVERRI
URBANITAS,Ediciones,Libro,Investigación en comunicación-educación y publicidad. ISBN: 978-958-8399-73-7,Colombia, 2014,Fondo Editorial Funlam,Español,110,GABRIEL JAIME LOTERO ECHEVERRI
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Ediciones,Revista,Volumen 4 Número 2,Colombia, 2019,Fondo Editorial Luis Amigó,Español,169,SANDRA MILENA RESTREPO ESCOBAR
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Ediciones,Revista,Volumen 4 Número 1,Colombia, 2019,Fondo Editorial Luis Aigó,Español,150,SANDRA MILENA RESTREPO ESCOBAR
